Ingresos (miles de pesos),Periodo,Fecha
280419124.08,Ene-Mar 2024,2024-01-01
167376014.8,Oct-Dic 2023,2023-10-01
133106593.41,Jul-Sept 2023,2023-07-01
118060280.28,Jun-Mar 2023,2023-04-01
104134992.81,Ene-Mar 2023,2023-01-01
72443482.99,Oct-Dic 2022,2022-10-01
64086784.33,Jul-Sept 2022,2022-07-01
60419500.62,Abr-Jun 2022,2022-04-01
55219313.01,Ene-Mar 2022,2022-01-01
45467887.17,Oct-Dic 2021,2021-10-01
42999944.29,Jul-Sept 2021,2021-07-01
38239666.63,Abr-Jun 2021,2021-04-01
36676371.36,Ene-Mar 2021,2021-01-01
33539702.72,Oct-Dic 2020,2020-10-01
31997444.53,Jul-Sept 2020,2020-07-01
32102475.99,Abr-Jun 2020,2020-04-01
29946216.45,Ene-Mar 2020,2020-01-01
24169250.7,Oct-Dic 2019,2019-10-01
21652748.44,Jul-Sept 2019,2019-07-01
20743117.69,Abr-Jun 2019,2019-04-01
20207413.77,Ene-Mar 2019,2019-01-01
16637686.59,Oct-Dic 2018,2018-10-01
15410980.69,Jul-Sept 2018,2018-07-01
14319467.46,Abr-Jun 2018,2018-04-01
13171459.23,Ene-Mar 2018,2018-01-01
11226127.39,Oct-Dic 2017,2017-10-01
10065997.86,Jul-Sept 2017,2017-07-01
9678646.93,Abr-Jun 2017,2017-04-01
8701201.42,Ene-Mar 2017,2017-01-01
7483980.39,Oct-Dic 2016,2016-10-01
6912441.54,Jul-Sept 2016,2016-07-01
6534240.6,Abr-Jun 2016,2016-04-01
5936844.89,Ene-Mar 2016,2016-01-01
5376899.21,Oct-Dic 2015,2015-10-01
5153738.88,Jul-Sept 2015,2015-07-01
4701790.72,Abr-Jun 2015,2015-04-01
4876385.32,Ene-Mar 2015,2015-01-01
3950440.78,Oct-Dic 2014,2014-10-01
3478637.74,Jul-Sept 2014,2014-07-01
3270816.2,Abr-Jun 2014,2014-04-01
2984054.21,Ene-Mar 2014,2014-01-01
